time,seconds_elapsed,z,y,x
1646167564856626000,0.0326259765625,-0.03696954821795225,0.025398645150661467,-0.12982991048395634
1646167564866609200,0.042609130859375,-0.026800328642129896,0.03895253872871399,-0.10190496172606944
1646167564876592000,0.052592041015625,-0.03259294056892395,0.09358312358260154,-0.10740472818613052
1646167564886575000,0.0625751953125,-0.056391164785623546,0.12002572482824325,-0.12070786187350749
1646167564896558000,0.07255810546875,-0.05025368494391441,0.10205401480793952,-0.08623276081979274
1646167564906541000,0.082541015625,-0.0067763622671365735,0.0581926612496376,-0.06594517507255077
1646167564916523300,0.092523193359375,-0.00040068975538015364,0.03218611333370208,-0.09949790058434009
1646167564926506000,0.102506103515625,-0.01977759039849043,0.02824059057831764,-0.0800911893248558
1646167564936489200,0.1124892578125,-0.05294949989914894,0.006842413240671158,-0.07827683337926865
1646167564946472200,0.12247216796875,-0.08938333380520343,-0.016598668101429938,-0.07703297079801559
1646167564956455000,0.132454833984375,-0.14136311188936232,-0.06330138256549835,-0.056951136755943293
1646167564966438100,0.142438232421875,-0.08797346700727939,-0.11141688643693923,-0.01988075851202011
1646167564976421000,0.152421142578125,0.032223230473697184,-0.08781506157517432,-0.022667758882045745
1646167564986404000,0.162404052734375,0.04630465505719185,0.0103349315315485,-0.05747428384721279
1646167564996387000,0.172386962890625,-0.03820610427558422,0.11252572446167468,-0.05874678800106048
1646167565006370000,0.1823701171875,-0.03968494465649128,0.13685294098854064,-0.09928747270405291
1646167565016353000,0.19235302734375,0.0006058569386601447,0.07412088274359703,-0.09007482320070266
1646167565026336300,0.202336181640625,-0.0029050737917423247,0.013591302978992461,-0.1011795700609684
1646167565036319000,0.212319091796875,-0.02640636088848114,-0.0176285956710577,-0.11094517727196215
1646167565046302200,0.22230224609375,-0.07604892819672822,-0.06486614766418934,-0.10437632027566432
1646167565056285200,0.23228515625,-0.11831249116957188,-0.12377835536003112,-0.06563713203668593
1646167565066268200,0.24226806640625,-0.07010843223184347,-0.1397311267733574,-0.059064183387160296
1646167565076250000,0.25225,-0.04658493330329656,-0.1434901870459318,-0.1234831718057394
1646167565086233000,0.262233154296875,-0.10710194584727287,-0.25105098257660863,-0.14390461306571958
1646167565096216300,0.27221630859375,-0.08853811515271663,-0.3866051159262657,-0.15270166750550268
1646167565106199000,0.282198974609375,-0.057573360307514664,-0.5478495708495378,-0.21434300790429114
1646167565116182000,0.29218212890625,-0.16380261497348547,-0.6832213333696127,-0.262604057726264
1646167565126165200,0.302165283203125,-0.25370120482444763,-0.7915864310204982,-0.3917845643907785
1646167565136148200,0.312148193359375,-0.19085662611573934,-0.8169149335443973,-0.48621933636665343
1646167565146131000,0.322130859375,-0.16528963866084814,-0.6277887844830751,-0.5034060334891081
1646167565156114200,0.3321142578125,-0.15406243446469306,-0.508040707552433,-0.49991702232956886
1646167565166097200,0.34209716796875,-0.1487295490041375,-0.5555360336989164,-0.40904081961810584
1646167565176080000,0.352079833984375,-0.23063158714324233,-0.48237961207330227,-0.26280513325631616
1646167565186063000,0.36206298828125,-0.2822998150601983,-0.46296062585413456,-0.11610358294844626
1646167565196046000,0.372046142578125,-0.3569119884520769,-0.4660907405734062,-0.060250178301334376
1646167565206029000,0.382029052734375,-0.4131967702537775,-0.32345103287696836,0.07054010164737701
1646167565216012000,0.392011962890625,-0.44322658233642576,0.07311316700577736,0.10376081872582435
1646167565225994000,0.401993896484375,-0.5879875199705362,0.5550596483588218,0.11656593976318835
1646167565235977200,0.411977294921875,-0.6287906550019979,0.5094458981752396,0.12218845582008361
1646167565245960000,0.4219599609375,-0.5776636943548917,0.5248305143117904,-0.013763736936450003
1646167565255943200,0.431943115234375,-0.4109010605320334,0.21904081033170222,0.09901274741590023
1646167565265926100,0.441926025390625,-0.15922960796952246,-0.14920038138628006,0.10667056869268417
1646167565275909000,0.4519091796875,-0.07486410232633352,-0.28526304877996445,-0.23122575364410877
1646167565285892000,0.46189208984375,-0.0734185796931386,-0.6513537844657897,-0.44981005237996574
1646167565295875000,0.471875,-0.11727788742482662,-0.6965899335086345,-0.37697804040312766
1646167565305858000,0.481858154296875,-0.044622108797729015,-0.79661857996881,-0.3614209903091192
1646167565315841300,0.49184130859375,0.15026391896456479,-0.9054933807075023,-0.4279880966722965
1646167565325824000,0.501823974609375,-0.012991291259229182,-0.8714362128049135,-0.4073626572728157
1646167565335807000,0.511806884765625,-0.08995908786654472,-0.9678981066942215,-0.43390287367403507
1646167565345790200,0.521790283203125,0.02806289592385292,-1.0177291823118924,-0.5827694930613041
1646167565355773200,0.531773193359375,0.021376111636310816,-1.4598141933977602,-0.4427110340297222
1646167565365756200,0.541756103515625,-0.4938613755524158,-0.9460638760268688,-0.15841127732396124
1646167565375739100,0.5517392578125,-0.5045986042745411,0.1774140839576721,-0.600211041727662
1646167565385722000,0.56172216796875,-0.6002814766153692,0.11688450419306755,-1.196656593441963
1646167565395704000,0.5717041015625,-0.37486645507663485,-0.11089198578000067,-0.465606171926856
1646167565405687000,0.58168701171875,0.03199000623971224,-0.505731846088171,-0.18118132753670216
1646167565415670300,0.591670166015625,-0.0967874725818634,-1.47270173202157,-0.8320236553490161
1646167565425653200,0.6016533203125,-0.34646015254259105,-1.4790677599221467,-1.1430857467740774
1646167565435636000,0.611635986328125,-0.6284674143970013,-0.9444809907495975,-1.2966606899827717
1646167565445619200,0.621619140625,-0.801305276480317,-0.532535681861639,-1.3705939411997794
1646167565455602200,0.631602294921875,-0.776236009414494,-0.3374748820543289,-1.4337310731142758
1646167565465585000,0.6415849609375,-0.7020511215239763,-0.15127894122600555,-1.1224994703412055
1646167565475568000,0.651568115234375,-0.4181228284791112,0.20705168185234069,-0.3557470363259315
1646167565485551000,0.661551025390625,-0.061730772247910494,-0.06063654727041721,0.25716215893328187
1646167565495534000,0.6715341796875,0.2614244925528765,-0.029788989064097403,1.0617281907752156
1646167565505517000,0.68151708984375,-0.09931859849467874,-0.25142215397655965,1.1868462703064084
1646167565515500000,0.6915,-0.6300543913275003,-0.4155658374726772,1.0250061875775456
1646167565525483000,0.70148291015625,-0.9387871630221605,-0.23361469460725784,0.746601041868329
1646167565535466200,0.71146630859375,-1.0712415767908097,0.2570014154136181,0.26062837373912334
1646167565545449000,0.721448974609375,-1.138948939230293,0.3336550315052271,-0.03293020969927311
1646167565555432200,0.73143212890625,-1.1208650010071695,0.582631545895338,0.04236556204259395
1646167565565415200,0.741415283203125,-1.2801448778592048,1.9214537997812031,-0.27669629596471784
1646167565575398100,0.751398193359375,-1.1233598865628243,1.158612401729822,0.16985417009741066
1646167565585381000,0.761381103515625,-1.312387835946679,-1.2681751847326754,0.5822086443081498
1646167565595364000,0.771364013671875,-0.6564829640477895,-3.34833895252347,0.9373308267340064
