time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,0.015713135,-2.220643083,-0.669990388,0.11668679,2.32244669,2.257456695,0.700519942
1.64617E+18,0.025695068,-2.820906731,-0.495710218,0.478688649,2.90385713,2.309655041,0.722519852
1.64617E+18,0.035677002,-3.061237582,-0.382541812,0.738639927,3.172239385,2.326852986,0.738332561
1.64617E+18,0.045658936,-2.825606872,-0.489158751,0.642667789,2.93876715,2.285339914,0.700325505
1.64617E+18,0.055641113,-2.522249948,-0.492501778,0.571178643,2.632593368,2.235279503,0.669020586
1.64617E+18,0.065622803,-2.262108481,-0.489878151,0.732629215,2.427727528,2.230928183,0.666559278
1.64617E+18,0.07560498,-1.833960225,-0.49457157,0.852425077,2.081979745,2.251105147,0.675208772
1.64617E+18,0.085586914,-0.961822586,-0.100438835,0.830538677,1.27474905,2.302479046,0.679914054
1.64617E+18,0.095568848,0.218738613,-0.574838262,0.616266543,0.870672188,2.443105936,0.592632664
1.64617E+18,0.105551025,1.107219484,-1.291556645,0.952172276,1.949534712,2.638163371,0.283214255
1.64617E+18,0.115532715,2.066646699,-1.283522976,1.473880274,2.844430149,2.716718091,0.166005565
1.64617E+18,0.125513916,2.155087784,-1.188135433,1.845183338,3.075836588,2.678220422,0.176247692
1.64617E+18,0.13549585,1.499494462,-1.013242685,2.080024944,2.757108657,2.609133737,0.138130424
1.64617E+18,0.145478027,0.684886636,-0.869253608,2.172548621,2.438163049,2.522363962,0.247308426
1.64617E+18,0.155459961,-0.014627076,-0.508702386,2.53857126,2.589080167,2.410283744,0.439424338
1.64617E+18,0.165442139,-0.069228435,-0.093045071,2.626938403,2.629497164,2.298527894,0.515300869
1.64617E+18,0.175424072,0.648220163,0.20900077,2.504772451,2.595718732,2.146346876,0.610927219
1.64617E+18,0.185406006,1.525668183,0.211295019,2.194435751,2.681017952,2.01579344,0.639762286
1.64617E+18,0.195387939,2.099541253,0.033246728,1.884211572,2.821246545,1.946228212,0.600247184
1.64617E+18,0.205370117,2.092770151,-0.161101247,1.753577067,2.735081909,1.947009121,0.60138905
1.64617E+18,0.215351807,1.524743469,-0.478585188,1.869498572,2.459453464,1.975832682,0.643875839
1.64617E+18,0.225333984,1.213424773,-0.628437896,1.954673056,2.384969732,2.04820507,0.729189647
1.64617E+18,0.235314941,1.061931312,-0.533309443,1.468930397,1.889410909,2.201600517,0.920220268
1.64617E+18,0.245296875,1.099793718,-0.243793851,0.682977295,1.317360865,2.483346572,1.176994697
1.64617E+18,0.255278809,1.26792384,0.075647362,0.742982267,1.471521674,2.869853638,1.352213923
1.64617E+18,0.265260986,0.429347695,0.189630591,1.00333007,1.107686975,3.219164957,1.396331518
1.64617E+18,0.275242676,1.105569378,-0.069613488,0.66139704,1.290184379,3.459206939,1.206083068
1.64617E+18,0.285224854,1.918652186,-0.429770596,0.275223301,1.98536567,3.518202025,1.109070242
1.64617E+18,0.295207275,2.674894917,-0.916709479,0.09020371,2.829055636,3.494109105,1.144168706
1.64617E+18,0.305188965,2.51780992,-1.598875604,0.494650188,3.023317515,3.433044327,1.193274854
1.64617E+18,0.315171143,1.655790939,-2.396528496,1.283598672,3.183177346,3.339023145,1.257183646
1.64617E+18,0.325153076,0.71448098,-3.139084792,2.234643259,3.918924201,3.228193168,1.313622871
1.64617E+18,0.33513501,-0.386207641,-3.656443948,2.93869023,4.706871461,3.001408705,1.369376372
1.64617E+18,0.345116943,-1.035836501,-3.587850596,3.593322598,5.182431519,2.623856269,1.367589481
