time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,0.019744141,-3.036633887,1.224877603,0.506607021,3.313324792,1.986218043,0.52799496
1.64617E+18,0.029725098,-1.919164228,1.411497322,0.399367202,2.415576574,1.793303159,0.318883615
1.64617E+18,0.039706299,-0.925464156,1.482920636,0.197855509,1.759171486,1.692146418,0.260550639
1.64617E+18,0.049688232,0.347226461,1.341486797,-0.023612675,1.385897038,1.656857526,0.272697465
1.64617E+18,0.059669434,1.364444186,1.094486259,-0.167419636,1.757167449,1.662090253,0.26790785
1.64617E+18,0.069650391,1.915933575,0.784591458,-0.120983391,2.073890595,1.636080363,0.270032129
1.64617E+18,0.079631348,2.015730166,0.440133,0.109759328,2.066139461,1.573609644,0.2309546
1.64617E+18,0.089612549,1.905534931,0.148588971,0.374761716,1.947713634,1.513505099,0.163237475
1.64617E+18,0.099593506,1.613549296,-0.025483985,0.42162163,1.667919531,1.44734973,0.092654289
1.64617E+18,0.109574463,1.445595114,-0.021397885,0.294181318,1.475379867,1.417574109,0.058556811
1.64617E+18,0.11955542,1.378700675,0.12260259,0.009805282,1.384175961,1.438135138,0.098034662
1.64617E+18,0.129537354,1.32644208,0.321008316,-0.329767778,1.404009159,1.405942816,0.149706537
1.64617E+18,0.139518311,1.187428746,0.45347179,-0.601670154,1.40628257,1.33737182,0.2549413
1.64617E+18,0.149499512,1.062136479,0.55001727,-0.798646506,1.438224301,1.28362912,0.289106671
1.64617E+18,0.159480225,0.992991047,0.606897388,-0.941731692,1.497068548,1.233280217,0.301380789
1.64617E+18,0.169461426,0.73813132,0.691051881,-1.038143536,1.449183408,1.186235151,0.293137588
1.64617E+18,0.179442383,0.578216652,0.818400496,-1.068824871,1.465094015,1.147796474,0.281091917
1.64617E+18,0.189424072,0.21586861,0.886845671,-0.906152794,1.286159939,1.092679547,0.267164025
1.64617E+18,0.199405273,-0.546852377,0.974248645,-0.793183199,1.370163322,1.032740279,0.283755022
1.64617E+18,0.20938623,-1.179229658,1.050752916,-0.575381283,1.680990153,0.969103624,0.272063558
1.64617E+18,0.219367188,-0.547432807,0.78955814,-0.453096198,1.062252747,0.886270934,0.133547437
1.64617E+18,0.229348389,0.229241302,0.30930911,-0.606407485,0.718299198,0.882170184,0.128619394
1.64617E+18,0.239329346,0.579395633,0.2253063,-0.606998985,0.868855567,0.932801521,0.151725822
1.64617E+18,0.249310547,0.563058246,0.359557242,-0.653769102,0.934735277,0.989289348,0.210984029
1.64617E+18,0.25929248,0.499177018,0.462280827,-0.768806225,1.026617879,1.055084527,0.276218247
1.64617E+18,0.269273438,0.456716179,0.500855472,-0.821185743,1.064796645,1.121433282,0.334870844
1.64617E+18,0.27925415,0.478413631,0.412400359,-0.660533701,0.913924739,1.198323559,0.395775065
1.64617E+18,0.289235107,0.582960632,0.15043723,-0.330416123,0.686767262,1.305544149,0.446225702
1.64617E+18,0.299216064,0.712259212,-0.041062955,-0.171634368,0.733796775,1.449320456,0.455226433
1.64617E+18,0.309197266,0.838019096,-0.010562311,-0.156993775,0.852663248,1.584870762,0.422631241
1.64617E+18,0.319178223,1.013210244,-0.051895022,-0.11684936,1.021245252,1.687802929,0.351051325
1.64617E+18,0.3291604,1.205073709,-0.160809278,-0.147015913,1.22461257,1.759947878,0.271852049
1.64617E+18,0.339141357,1.394564015,-0.276894157,-0.184698542,1.433733838,1.806386546,0.208786896
1.64617E+18,0.349122314,1.51844057,-0.452263583,-0.162628274,1.592687059,1.822522203,0.184144537
1.64617E+18,0.359103516,1.517097923,-0.715410369,-0.207504832,1.690105429,1.817050287,0.191556687
1.64617E+18,0.369084473,1.528613004,-0.97225601,-0.283750087,1.833699424,1.795264902,0.215630417
1.64617E+18,0.37906543,1.52573365,-1.210508593,-0.389256544,1.98613063,1.752077795,0.244873153
1.64617E+18,0.389046387,1.497214242,-1.414612239,-0.520433375,2.124530341,1.681783777,0.267449197
1.64617E+18,0.39902832,1.402906896,-1.417181797,-0.623395372,2.089299833,1.587421444,0.260979165
1.64617E+18,0.409009521,1.298141284,-1.099385429,-0.80501436,1.881984919,1.485106414,0.244184371
1.64617E+18,0.418990234,1.203579086,-0.957376128,-0.819642167,1.742694738,1.402833999,0.235032878
1.64617E+18,0.428971191,1.082037112,-1.028783368,-0.789632155,1.688999251,1.341174197,0.218051239
1.64617E+18,0.438952393,0.996596378,-0.978549557,-0.770421843,1.595090403,1.300041347,0.184822816
1.64617E+18,0.44893335,0.993891211,-0.985805227,-0.636956499,1.537967901,1.276079369,0.158704577
1.64617E+18,0.458914307,0.974521324,-0.97578243,-0.515443056,1.472251577,1.252066913,0.13341421
1.64617E+18,0.46889624,0.979445921,-0.892073635,-0.45827181,1.401828354,1.233965867,0.113035556
1.64617E+18,0.478877197,0.907532778,-0.851556331,-0.312751981,1.283190449,1.238255502,0.119928242
1.64617E+18,0.488858398,0.781031135,-0.859534178,-0.213852119,1.18090701,1.273553454,0.169612839
1.64617E+18,0.498839355,0.572795212,-0.88465576,-0.161135588,1.066149542,1.331741393,0.220134574
1.64617E+18,0.508820313,0.344914092,-0.983870752,-0.18725915,1.059260769,1.414128055,0.256485549
1.64617E+18,0.518800293,0.129933371,-1.086297107,-0.266776558,1.126096718,1.512935768,0.289005648
1.64617E+18,0.52878125,0.148252871,-1.238050972,-0.278735364,1.277670743,1.606339176,0.299629543
1.64617E+18,0.538763184,-0.035250762,-1.314753396,-0.327843715,1.355470623,1.69093564,0.313972201
1.64617E+18,0.548744385,-0.20324586,-1.242035658,-0.316916224,1.297843345,1.782549743,0.335634005
1.64617E+18,0.558725342,-0.27881285,-1.214998014,-0.336670215,1.291241113,1.899859131,0.35040319
1.64617E+18,0.568706299,-0.473212555,-1.335297879,-0.283335369,1.444724707,2.030731305,0.342969099
1.64617E+18,0.5786875,-0.464711269,-1.550367156,-0.23970249,1.636169968,2.135173101,0.305603401
1.64617E+18,0.588668457,-0.31534839,-1.725560641,-0.174389731,1.762786405,2.197392119,0.257175669
1.64617E+18,0.598650391,-0.262227041,-1.869925565,-0.082319131,1.890016158,2.247175322,0.212538235
1.64617E+18,0.608631348,-0.30538463,-2.024067787,-0.038500776,2.047337902,2.33912751,0.235767283
1.64617E+18,0.618612305,-0.428883,-2.014208364,-0.056240093,2.060130799,2.499672755,0.44030481
1.64617E+18,0.628593506,-0.548731614,-2.051274066,0.031552017,2.123635375,2.73226176,0.690131785
1.64617E+18,0.638574219,-0.58817749,-2.193312885,0.0603768,2.271611659,3.008248385,0.908765069
1.64617E+18,0.648555176,-0.617335195,-2.392401917,-0.029001455,2.470937223,3.282060269,1.047478258
1.64617E+18,0.658537109,-0.72459087,-2.480373631,-0.287265657,2.599962853,3.489446655,1.071382734
1.64617E+18,0.668518066,-0.764997699,-2.341082649,-0.360474357,2.489142666,3.592521414,1.029618357
1.64617E+18,0.678499268,-0.923398455,-2.057951059,-0.111190384,2.258360151,3.602210452,1.019596733
1.64617E+18,0.688480225,-1.490238558,-1.693301462,0.149381766,2.260618436,3.528049827,1.135075874
1.64617E+18,0.698461182,-2.433659226,-1.374501178,0.28557533,2.809538037,3.387939693,1.349160795
1.64617E+18,0.708442383,-3.398198085,-1.277602062,0.403559319,3.652790355,3.187167729,1.554114847
1.64617E+18,0.718424316,-4.257527681,-1.005926224,0.314244119,4.386020849,2.928830259,1.665935668
1.64617E+18,0.728405518,-4.851833882,-0.512566076,0.213476235,4.883501623,2.619273691,1.653965911
