time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,0.020477539,0.240960381,-0.980361867,0.871631735,1.33375904,0.992747436,0.310475261
1.64617E+18,0.030459473,0.128209616,-0.832867413,0.966099241,1.281972533,0.906302503,0.323561393
1.64617E+18,0.040442383,-0.142702836,-0.623192981,0.997405941,1.184716085,0.829755753,0.316091726
1.64617E+18,0.050424561,-0.459726466,-0.426597227,0.972816566,1.15745656,0.7723617,0.298019212
1.64617E+18,0.06040625,-0.776107122,-0.131142747,0.790536557,1.115566552,0.727853717,0.269006515
1.64617E+18,0.070388428,-0.967529858,0.132468735,0.650696709,1.173485491,0.688732224,0.236226831
1.64617E+18,0.080371338,-0.833000976,0.258586639,0.563416339,1.038362002,0.639417181,0.172857226
1.64617E+18,0.090353516,-0.440567008,0.372019541,0.425471218,0.716605599,0.61442686,0.124742725
1.64617E+18,0.100335449,-0.169130824,0.421207058,0.294162029,0.54088069,0.637857673,0.159028414
1.64617E+18,0.110318359,-0.043552726,0.362324661,0.12163411,0.384669802,0.690938144,0.200879805
1.64617E+18,0.120300537,0.135406834,0.438351962,0.098813718,0.46930971,0.75482062,0.194810351
1.64617E+18,0.130282227,0.184403212,0.45594724,0.157749891,0.516505042,0.814639058,0.189730464
1.64617E+18,0.140264404,0.138420629,0.518375639,0.291844473,0.610775548,0.87656991,0.18327339
1.64617E+18,0.150247559,0.133230074,0.516437949,0.472252259,0.712376729,0.93148179,0.177584995
1.64617E+18,0.160229492,0.032484804,0.461932744,0.556999238,0.724351623,0.965744111,0.164582789
1.64617E+18,0.17021167,-0.149818221,0.5100614,0.424555857,0.680335069,1.004130262,0.147704796
1.64617E+18,0.180194336,0.012038813,0.736670599,0.280782396,0.788458787,1.059275613,0.116078401
1.64617E+18,0.190176514,0.404300932,0.75542966,0.412436307,0.95091373,1.099033162,0.07852473
1.64617E+18,0.200158203,0.707946609,0.575679243,0.562062805,1.071685396,1.099444698,0.077754386
1.64617E+18,0.210140381,0.735491034,0.485523171,0.520443385,1.023494567,1.070134951,0.124114995
1.64617E+18,0.220123535,0.74318685,0.439687302,0.627608167,1.067494088,1.058863412,0.132662649
1.64617E+18,0.230105469,0.714542354,0.412822092,0.780435507,1.135813557,1.068450927,0.136353056
1.64617E+18,0.240087646,0.77259473,0.437156907,0.74655618,1.159894352,1.109476903,0.198160458
1.64617E+18,0.250070557,0.677343966,0.594865589,0.548055615,1.05499994,1.202272643,0.355139495
1.64617E+18,0.26005249,0.782675979,0.658846186,0.42600043,1.108213135,1.371780889,0.578613511
1.64617E+18,0.270034424,1.01311672,0.671101272,0.201297502,1.231788574,1.588389787,0.801801776
1.64617E+18,0.280016357,0.981262031,0.666166154,-0.004980565,1.186034284,1.823835395,0.986852278
1.64617E+18,0.289999512,0.635821869,0.711357879,-0.042202773,0.955029086,2.085542432,1.120918595
1.64617E+18,0.299981445,0.394994174,0.668938541,0.051961512,0.778587932,2.348154388,1.132859749
1.64617E+18,0.309963379,0.676653645,0.608663813,-0.03445141,0.910779168,2.609828971,1.038365158
1.64617E+18,0.319946533,1.087943121,0.409288072,-0.047864744,1.163369242,2.873746859,0.89903103
1.64617E+18,0.329928223,1.515124577,0.235612006,0.198058539,1.546073312,3.146631453,0.738227205
1.64617E+18,0.3399104,2.054999516,0.198934426,0.310687997,2.087851754,3.418605687,0.583170741
1.64617E+18,0.349892334,2.71510067,0.216883925,0.37966158,2.750082399,3.691935212,0.533854564
1.64617E+18,0.359875488,3.225250918,0.416010074,0.381767613,3.27430212,3.932557578,0.593995874
1.64617E+18,0.369857666,3.467165823,0.908200886,0.122813017,3.586244656,4.133350659,0.671822572
1.64617E+18,0.379839355,3.512955514,1.282330551,-0.691647947,3.803104649,4.24154477,0.66205133
1.64617E+18,0.38982251,3.20451325,1.454508488,-0.663419558,3.581148646,4.235244684,0.666478509
1.64617E+18,0.399804443,3.046597647,1.478961377,-0.243325649,3.395333761,4.17137133,0.751312497
